iter	Passed	Remaining
0	106	106303
1	108	53892
2	109	36408
3	110	27635
4	112	22398
5	114	18899
6	115	16387
7	116	14489
8	118	13004
9	119	11833
10	120	10867
11	122	10057
12	123	9360
13	124	8760
14	125	8244
15	126	7790
16	127	7390
17	128	7028
18	129	6702
19	130	6408
20	131	6143
21	132	5903
22	133	5685
23	134	5479
24	135	5289
25	136	5120
26	137	4962
27	138	4809
28	139	4666
29	140	4533
30	140	4405
31	141	4284
32	142	4180
33	143	4076
34	144	3976
35	144	3882
36	145	3792
37	146	3708
38	147	3627
39	147	3548
40	148	3475
41	149	3404
42	149	3338
43	150	3274
44	151	3213
45	152	3154
46	152	3098
47	153	3044
48	154	2992
49	154	2943
50	155	2896
51	156	2850
52	157	2806
53	157	2764
54	158	2724
55	159	2684
56	159	2646
57	160	2609
58	161	2573
59	162	2539
60	162	2506
61	163	2473
62	164	2443
63	165	2413
64	165	2383
65	166	2355
66	167	2327
67	167	2300
68	168	2274
69	169	2248
70	169	2223
71	170	2199
72	171	2176
73	172	2153
74	172	2130
75	173	2109
76	174	2087
77	174	2066
78	175	2046
79	176	2026
80	176	2007
81	177	1989
82	178	1967
83	178	1949
84	179	1932
85	180	1915
86	180	1898
87	181	1882
88	182	1866
89	183	1850
90	184	1840
91	185	1834
92	186	1820
93	187	1805
94	188	1791
95	188	1778
96	189	1764
97	190	1751
98	191	1738
99	191	1725
100	192	1712
101	193	1700
102	193	1687
103	194	1675
104	195	1663
105	195	1651
106	196	1640
107	197	1629
108	197	1618
109	198	1607
110	199	1597
111	200	1586
112	200	1576
113	201	1565
114	202	1555
115	202	1545
116	203	1535
117	204	1525
118	204	1516
119	205	1507
120	206	1498
121	206	1488
122	207	1480
123	208	1471
124	208	1462
125	209	1453
126	210	1444
127	210	1435
128	211	1427
129	212	1419
130	212	1411
131	213	1404
132	214	1396
133	214	1388
134	215	1381
135	216	1374
136	216	1366
137	217	1359
138	218	1352
139	219	1345
140	219	1339
141	220	1332
142	221	1326
143	222	1320
144	223	1315
145	223	1309
146	224	1304
147	225	1298
148	226	1291
149	227	1286
150	228	1282
151	229	1278
152	230	1277
153	231	1274
154	232	1269
155	233	1264
156	234	1259
157	235	1254
158	236	1249
159	237	1244
160	237	1238
161	238	1233
162	239	1228
163	240	1223
164	240	1219
165	241	1214
166	242	1209
167	243	1204
168	244	1199
169	244	1195
170	245	1190
171	246	1185
172	247	1181
173	247	1176
174	248	1172
175	249	1167
176	250	1163
177	251	1159
178	251	1155
179	252	1150
180	253	1146
181	254	1143
182	255	1138
183	255	1134
184	256	1130
185	257	1126
186	258	1122
187	259	1119
188	259	1115
189	260	1111
190	261	1107
191	262	1102
192	262	1098
193	263	1094
194	264	1090
195	264	1086
196	265	1082
197	266	1078
198	267	1074
199	267	1070
200	268	1067
201	269	1063
202	269	1059
203	270	1055
204	271	1052
205	272	1048
206	272	1044
207	273	1041
208	274	1037
209	274	1034
210	275	1030
211	276	1027
212	277	1023
213	277	1020
214	278	1016
215	279	1013
216	279	1010
217	280	1006
218	281	1003
219	281	999
220	282	996
221	283	993
222	284	989
223	284	986
224	286	985
225	286	982
226	287	978
227	288	975
228	288	972
229	289	969
230	290	966
231	291	963
232	291	960
233	292	957
234	293	954
235	293	951
236	294	948
237	295	945
238	295	942
239	296	939
240	297	936
241	298	933
242	298	930
243	299	927
244	300	925
245	300	922
246	301	919
247	302	916
248	303	913
249	303	911
250	304	908
251	305	905
252	305	902
253	306	900
254	307	897
255	307	895
256	308	893
257	309	890
258	310	887
259	311	885
260	311	882
261	312	880
262	313	877
263	313	875
264	314	872
265	315	870
266	316	867
267	316	865
268	317	862
269	318	860
270	318	857
271	319	855
272	320	852
273	321	850
274	321	848
275	322	845
276	323	843
277	323	840
278	324	838
279	325	836
280	325	833
281	326	831
282	327	829
283	328	826
284	328	824
285	329	822
286	330	820
287	330	817
288	331	815
289	332	813
290	332	811
291	333	808
292	334	806
293	334	804
294	335	802
295	336	799
296	337	797
297	337	795
298	338	793
299	339	791
300	340	789
301	340	787
302	341	785
303	342	783
304	342	781
305	343	779
306	344	777
307	345	775
308	345	773
309	346	771
310	347	769
311	347	767
312	348	765
313	349	763
314	350	761
315	350	759
316	351	757
317	352	755
318	352	753
319	353	751
320	354	749
321	354	747
322	355	745
323	356	743
324	357	741
325	357	739
326	358	737
327	359	736
328	359	734
329	360	732
330	361	730
331	362	728
332	362	726
333	363	724
334	364	722
335	364	720
336	365	719
337	366	717
338	366	715
339	367	713
340	368	711
341	369	709
342	369	708
343	370	706
344	371	704
345	371	702
346	372	700
347	373	699
348	373	697
349	374	695
350	375	693
351	375	691
352	376	690
353	377	688
354	377	686
355	378	684
356	379	683
357	380	681
358	380	679
359	381	678
360	382	676
361	382	674
362	384	674
363	384	672
364	385	670
365	386	669
366	387	667
367	387	666
368	388	664
369	389	662
370	389	661
371	390	659
372	391	657
373	392	656
374	392	654
375	393	652
376	394	651
377	394	649
378	395	648
379	396	646
380	397	645
381	397	643
382	398	641
383	399	640
384	399	638
385	400	637
386	401	635
387	401	634
388	402	632
389	403	630
390	404	629
391	404	627
392	405	626
393	406	624
394	406	623
395	407	621
396	408	620
397	409	618
398	409	617
399	410	615
400	411	614
401	411	612
402	412	611
403	413	609
404	413	608
405	414	606
406	415	605
407	416	603
408	417	602
409	417	601
410	418	599
411	419	598
412	419	596
413	420	595
414	421	593
415	422	592
416	422	590
417	423	589
418	424	588
419	424	586
420	425	585
421	426	583
422	426	582
423	427	580
424	428	579
425	428	577
426	429	576
427	430	575
428	431	573
429	431	572
430	432	571
431	433	569
432	434	568
433	434	566
434	435	565
435	436	564
436	436	562
437	437	561
438	438	560
439	439	558
440	439	557
441	440	556
442	441	554
443	441	553
444	442	551
445	443	550
446	443	549
447	444	547
448	445	546
449	446	545
450	446	543
451	447	542
452	448	541
453	448	539
454	449	538
455	450	537
456	450	535
457	451	534
458	452	533
459	453	531
460	453	530
461	454	529
462	455	527
463	455	526
464	456	525
465	457	524
466	457	522
467	458	521
468	459	520
469	460	518
470	461	517
471	461	516
472	462	515
473	463	514
474	463	512
475	464	511
476	465	510
477	465	508
478	466	507
479	467	506
480	468	505
481	468	503
482	469	502
483	470	501
484	471	500
485	471	498
486	472	497
487	473	496
488	473	495
489	474	493
490	475	492
491	476	491
492	476	490
493	477	489
494	478	487
495	478	486
496	479	485
497	480	484
498	480	482
499	481	481
500	482	480
501	483	479
502	483	478
503	484	476
504	485	475
505	485	474
506	486	473
507	487	471
508	487	470
509	488	469
510	489	468
511	490	467
512	490	465
513	491	464
514	492	463
515	492	462
516	493	461
517	494	459
518	495	458
519	495	457
520	496	456
521	497	455
522	497	454
523	498	452
524	499	451
525	500	450
526	500	449
527	501	448
528	502	447
529	502	445
530	503	444
531	504	444
532	505	443
533	506	441
534	507	440
535	507	439
536	508	438
537	509	437
538	510	436
539	510	435
540	511	434
541	512	432
542	512	431
543	513	430
544	514	429
545	515	428
546	515	427
547	516	425
548	517	424
549	517	423
550	518	422
551	519	421
552	519	420
553	520	419
554	521	417
555	522	416
556	522	415
557	523	414
558	524	413
559	524	412
560	525	411
561	526	410
562	526	408
563	527	407
564	528	406
565	528	405
566	529	404
567	530	403
568	530	402
569	531	401
570	532	399
571	533	398
572	533	397
573	534	396
574	535	395
575	535	394
576	536	393
577	537	392
578	537	391
579	538	389
580	539	388
581	539	387
582	540	386
583	541	385
584	542	384
585	542	383
586	543	382
587	544	381
588	544	380
589	545	379
590	546	378
591	547	377
592	547	375
593	548	374
594	549	373
595	549	372
596	550	371
597	551	370
598	551	369
599	552	368
600	553	367
601	553	366
602	554	365
603	555	364
604	556	363
605	556	361
606	557	360
607	558	359
608	558	358
609	559	357
610	560	356
611	561	355
612	561	354
613	562	353
614	563	352
615	563	351
616	564	350
617	565	349
618	566	348
619	566	347
620	567	346
621	568	345
622	568	344
623	569	343
624	570	342
625	571	341
626	571	340
627	572	339
628	573	338
629	573	337
630	574	335
631	575	334
632	575	333
633	576	332
634	577	331
635	578	330
636	578	329
637	579	328
638	580	327
639	580	326
640	581	325
641	582	324
642	582	323
643	583	322
644	584	321
645	585	320
646	585	319
647	586	318
648	587	317
649	587	316
650	588	315
651	589	314
652	590	313
653	590	312
654	591	311
655	592	310
656	592	309
657	593	308
658	594	307
659	594	306
660	595	305
661	596	304
662	597	303
663	597	302
664	598	301
665	599	300
666	599	299
667	600	298
668	601	297
669	601	296
670	602	295
671	603	294
672	604	293
673	604	292
674	605	291
675	606	290
676	606	289
677	607	288
678	608	287
679	609	286
680	609	285
681	610	284
682	611	283
683	611	282
684	612	281
685	613	280
686	613	279
687	614	278
688	615	277
689	616	276
690	616	275
691	617	274
692	618	273
693	618	272
694	619	271
695	620	270
696	621	269
697	621	269
698	622	268
699	623	267
700	623	266
701	624	265
702	625	264
703	625	263
704	626	262
705	627	261
706	627	260
707	628	259
708	629	258
709	630	257
710	630	256
711	631	255
712	632	254
713	632	253
714	633	252
715	634	251
716	635	250
717	636	249
718	637	248
719	637	248
720	638	247
721	639	246
722	639	245
723	640	244
724	641	243
725	641	242
726	642	241
727	643	240
728	644	239
729	644	238
730	645	237
731	646	236
732	646	235
733	647	234
734	648	233
735	648	232
736	649	231
737	650	230
738	650	229
739	651	228
740	652	228
741	652	227
742	653	226
743	654	225
744	655	224
745	655	223
746	656	222
747	657	221
748	657	220
749	658	219
750	659	218
751	659	217
752	660	216
753	661	215
754	661	214
755	662	213
756	663	212
757	663	211
758	664	210
759	665	210
760	665	209
761	666	208
762	667	207
763	667	206
764	668	205
765	669	204
766	669	203
767	670	202
768	671	201
769	672	200
770	672	199
771	673	198
772	674	197
773	674	197
774	675	196
775	676	195
776	676	194
777	677	193
778	678	192
779	679	191
780	680	190
781	681	189
782	681	188
783	682	188
784	683	187
785	683	186
786	684	185
787	685	184
788	685	183
789	686	182
790	687	181
791	688	180
792	688	179
793	689	178
794	690	177
795	691	177
796	691	176
797	692	175
798	693	174
799	693	173
800	694	172
801	695	171
802	696	170
803	696	169
804	697	169
805	698	168
806	699	167
807	700	166
808	700	165
809	701	164
810	702	163
811	702	162
812	703	161
813	704	160
814	704	160
815	705	159
816	706	158
817	707	157
818	707	156
819	708	155
820	709	154
821	709	153
822	710	152
823	711	151
824	711	151
825	712	150
826	713	149
827	714	148
828	714	147
829	715	146
830	716	145
831	716	144
832	717	143
833	718	143
834	719	142
835	719	141
836	720	140
837	721	139
838	722	138
839	722	137
840	723	136
841	724	135
842	724	135
843	725	134
844	726	133
845	727	132
846	727	131
847	728	130
848	729	129
849	730	128
850	730	127
851	731	127
852	732	126
853	732	125
854	733	124
855	734	123
856	734	122
857	735	121
858	736	120
859	736	119
860	737	119
861	738	118
862	739	117
863	739	116
864	740	115
865	741	114
866	741	113
867	742	112
868	743	112
869	744	111
870	744	110
871	745	109
872	746	108
873	746	107
874	747	106
875	748	105
876	748	105
877	749	104
878	750	103
879	751	102
880	751	101
881	752	100
882	753	99
883	753	98
884	754	98
885	755	97
886	756	96
887	756	95
888	757	94
889	758	93
890	759	92
891	760	92
892	760	91
893	761	90
894	762	89
895	763	88
896	763	87
897	764	86
898	765	85
899	765	85
900	766	84
901	767	83
902	768	82
903	768	81
904	769	80
905	770	79
906	770	79
907	771	78
908	772	77
909	772	76
910	773	75
911	774	74
912	775	73
913	775	72
914	776	72
915	777	71
916	777	70
917	778	69
918	779	68
919	780	67
920	780	66
921	781	66
922	782	65
923	782	64
924	783	63
925	784	62
926	784	61
927	785	60
928	786	60
929	787	59
930	787	58
931	788	57
932	789	56
933	789	55
934	790	54
935	791	54
936	791	53
937	792	52
938	793	51
939	793	50
940	794	49
941	795	48
942	796	48
943	796	47
944	797	46
945	798	45
946	798	44
947	799	43
948	800	43
949	800	42
950	801	41
951	802	40
952	803	39
953	803	38
954	804	37
955	805	37
956	806	36
957	806	35
958	807	34
959	808	33
960	808	32
961	809	31
962	810	31
963	811	30
964	811	29
965	812	28
966	813	27
967	813	26
968	814	26
969	815	25
970	815	24
971	816	23
972	817	22
973	818	21
974	818	20
975	819	20
976	820	19
977	820	18
978	821	17
979	822	16
980	823	15
981	823	15
982	824	14
983	825	13
984	825	12
985	826	11
986	827	10
987	828	10
988	828	9
989	829	8
990	830	7
991	830	6
992	831	5
993	832	5
994	833	4
995	833	3
996	834	2
997	835	1
998	835	0
999	836	0
