iter	Passed	Remaining
0	140	140074
1	141	70594
2	142	47207
3	142	35489
4	143	28499
5	143	23810
6	144	20453
7	144	17943
8	145	16026
9	146	14459
10	146	13174
11	146	12102
12	147	11195
13	147	10421
14	148	9748
15	148	9159
16	149	8640
17	149	8176
18	150	7762
19	150	7389
20	151	7052
21	151	6746
22	152	6465
23	152	6209
24	153	5972
25	153	5754
26	154	5552
27	154	5365
28	155	5190
29	155	5028
30	156	4877
31	156	4733
32	156	4599
33	157	4472
34	157	4353
35	158	4242
36	158	4135
37	159	4039
38	160	3949
39	160	3860
40	161	3774
41	161	3692
42	162	3614
43	162	3539
44	163	3466
45	163	3398
46	164	3332
47	164	3270
48	165	3210
49	165	3151
50	166	3095
51	166	3040
52	167	2989
53	167	2941
54	168	2892
55	168	2845
56	169	2800
57	169	2756
58	170	2714
59	170	2674
60	171	2635
61	171	2596
62	172	2559
63	172	2523
64	173	2489
65	173	2455
66	174	2425
67	174	2396
68	175	2366
69	175	2337
70	176	2307
71	176	2280
72	177	2254
73	178	2228
74	178	2201
75	178	2176
76	179	2150
77	179	2126
78	180	2103
79	180	2079
80	181	2056
81	181	2034
82	182	2011
83	182	1990
84	183	1970
85	183	1950
86	183	1930
87	184	1911
88	184	1893
89	185	1874
90	185	1856
91	186	1839
92	186	1821
93	187	1805
94	187	1789
95	188	1772
96	188	1758
97	189	1744
98	190	1729
99	190	1716
100	191	1702
101	191	1687
102	192	1673
103	192	1659
104	193	1646
105	193	1633
106	194	1620
107	194	1607
108	195	1594
109	195	1582
110	196	1570
111	196	1558
112	197	1546
113	197	1534
114	197	1523
115	198	1511
116	198	1499
117	199	1489
118	199	1479
119	200	1468
120	200	1457
121	201	1446
122	201	1436
123	201	1426
124	202	1417
125	202	1407
126	203	1397
127	203	1389
128	204	1381
129	205	1373
130	205	1365
131	206	1356
132	206	1347
133	207	1339
134	207	1331
135	208	1323
136	208	1315
137	209	1308
138	209	1300
139	210	1292
140	210	1285
141	211	1276
142	211	1269
143	212	1262
144	212	1255
145	213	1248
146	214	1242
147	214	1236
148	215	1230
149	215	1223
150	216	1217
151	217	1211
152	217	1205
153	218	1198
154	219	1194
155	219	1190
156	220	1183
157	220	1177
158	221	1171
159	222	1165
160	222	1159
161	222	1153
162	223	1147
163	223	1141
164	224	1136
165	225	1131
166	225	1126
167	226	1120
168	226	1115
169	227	1109
170	227	1104
171	228	1099
172	228	1094
173	229	1088
174	229	1083
175	230	1079
176	231	1074
177	231	1069
178	232	1064
179	232	1059
180	233	1054
181	233	1050
182	234	1046
183	234	1041
184	235	1036
185	235	1031
186	236	1027
187	236	1022
188	237	1017
189	237	1013
190	238	1008
191	238	1004
192	239	999
193	239	995
194	240	991
195	240	986
196	240	982
197	241	977
198	241	973
199	242	969
200	242	965
201	243	961
202	243	957
203	244	953
204	244	949
205	245	945
206	245	941
207	246	937
208	246	933
209	247	929
210	247	926
211	248	922
212	248	919
213	249	916
214	250	912
215	250	909
216	251	905
217	251	902
218	251	898
219	252	895
220	252	891
221	253	888
222	254	885
223	254	881
224	254	878
225	255	874
226	255	871
227	256	868
228	256	864
229	257	861
230	257	858
231	258	854
232	258	851
233	259	848
234	259	845
235	260	842
236	260	839
237	261	836
238	261	833
239	262	830
240	262	827
241	263	825
242	264	822
243	264	820
244	265	817
245	265	814
246	266	812
247	267	809
248	267	806
249	268	804
250	268	801
251	269	798
252	269	796
253	270	793
254	270	790
255	271	787
256	271	784
257	272	782
258	272	779
259	272	776
260	273	774
261	273	771
262	274	768
263	274	766
264	275	763
265	275	761
266	276	758
267	276	755
268	277	753
269	277	750
270	278	748
271	278	746
272	279	744
273	279	741
274	280	739
275	280	736
276	281	734
277	281	732
278	282	729
279	282	727
280	283	724
281	283	722
282	284	720
283	284	717
284	285	715
285	285	713
286	286	710
287	286	708
288	287	706
289	287	704
290	288	701
291	288	699
292	289	697
293	289	695
294	289	693
295	290	690
296	290	688
297	291	686
298	291	684
299	292	682
300	292	679
301	293	677
302	294	676
303	294	674
304	295	672
305	295	670
306	296	668
307	296	666
308	296	664
309	297	662
310	297	660
311	298	658
312	298	655
313	299	653
314	299	651
315	300	650
316	300	648
317	301	646
318	301	644
319	302	642
320	302	640
321	303	638
322	303	636
323	304	634
324	304	632
325	305	630
326	305	628
327	306	627
328	306	625
329	307	623
330	307	621
331	307	619
332	308	618
333	309	616
334	309	614
335	310	612
336	310	611
337	311	609
338	311	607
339	312	605
340	312	603
341	312	602
342	313	600
343	313	598
344	314	596
345	314	595
346	315	593
347	315	591
348	316	589
349	316	588
350	317	586
351	317	584
352	318	582
353	318	581
354	319	579
355	319	577
356	319	576
357	320	574
358	320	573
359	321	571
360	321	569
361	322	568
362	322	566
363	323	565
364	324	563
365	324	562
366	325	560
367	325	559
368	326	557
369	326	556
370	327	554
371	327	553
372	328	551
373	328	550
374	329	548
375	329	547
376	330	545
377	330	544
378	331	542
379	331	541
380	332	539
381	332	538
382	333	536
383	333	535
384	334	533
385	334	532
386	335	530
387	335	529
